,bagpipe_male,bagpipe_female,tuple,average_male,average_female,female-male
0,0.23219939,0.1654098,"('unsociable', 'sociable')",0.2321994,0.1654098,-0.0667896
1,-0.11391275,-0.3163303,"('unfriendly', 'friendly')",-0.1139127,-0.3163303,-0.2024176
2,-0.22768897,-0.16492867,"('unlikable', 'likable')",-0.227689,-0.1649287,0.0627603
3,-0.7868554,-0.56175774,"('repellent', 'pleasant')",-0.7868554,-0.5617577,0.2250977
4,-2.1517951,-2.2038121,"('disliked', 'liked')",-2.1517951,-2.2038121,-0.052017
5,0.019629009,-0.10312086,"('distant', 'outgoing')",0.019629,-0.1031209,-0.1227499
6,0.10984819,-0.070231795,"('distant', 'open')",0.1098482,-0.0702318,-0.18008
7,0.8584242,0.929886,"('insensitive', 'sensitive')",0.8584242,0.929886,0.0714618
8,0.48675528,0.266619,"('unaffectionate', 'affectionate')",0.4867553,0.266619,-0.2201363
9,0.4407645,0.29338682,"('unaffectionate', 'caring')",0.4407645,0.2933868,-0.1473777
10,-0.56525683,-0.46881118,"('unsympathetic', 'sympathetic')",-0.5652568,-0.4688112,0.0964456
11,-0.51215607,-0.29601017,"('unhelpful', 'helpful')",-0.5121561,-0.2960102,0.2161459
12,-0.9926672,-0.8964252,"('unsupportive', 'supportive')",-0.9926672,-0.8964252,0.096242
13,-0.47286257,-0.46929193,"('impolite', 'polite')",-0.4728626,-0.4692919,0.0035707
14,0.100563176,0.30491015,"('antisocial', 'social')",0.1005632,0.3049102,0.204347
15,0.9771187,0.7845788,"('boring', 'funny')",0.9771187,0.7845788,-0.1925399
16,0.24957538,0.060264684,"('unpopular', 'popular')",0.2495754,0.0602647,-0.1893107
17,-0.3045224,-0.20245817,"('nasty', 'nice')",-0.3045224,-0.2024582,0.1020642
18,-0.96931285,-0.91479,"('disagreeable', 'welcoming')",-0.9693128,-0.91479,0.0545228
19,-0.3067245,-0.3701965,"('inhospitable', 'hospitable')",-0.3067245,-0.3701965,-0.063472
20,-0.58677983,-0.5243086,"('rough', 'thoughtful')",-0.5867798,-0.5243086,0.0624712
21,-0.89670765,-0.7700639,"('immoral', 'moral')",-0.8967077,-0.7700639,0.1266438
22,0.15023747,0.17913353,"('untrustworthy', 'trustworthy')",0.1502375,0.1791335,0.028896
23,1.5491729,1.7202259,"('insincere', 'sincere')",1.5491729,1.7202259,0.171053
24,0.4002852,0.3918129,"('dishonest', 'honest')",0.4002852,0.3918129,-0.0084723
25,0.93396086,0.75494885,"('egoistic', 'altruistic')",0.9339609,0.7549489,-0.179012
26,1.3475595,1.3030089,"('hardhearted', 'benevolent')",1.3475595,1.3030089,-0.0445506
27,0.5254593,0.28511226,"('hardhearted', 'softhearted')",0.5254593,0.2851123,-0.240347
28,1.082528,0.888041,"('disloyal', 'loyal')",1.082528,0.888041,-0.194487
29,-0.10625313,-0.19525594,"('unfair', 'fair')",-0.1062531,-0.1952559,-0.0890028
30,0.0933079,0.26301897,"('intolerant', 'tolerant')",0.0933079,0.263019,0.1697111
31,0.083797455,0.081063196,"('evil', 'good')",0.0837975,0.0810632,-0.0027343
32,0.63448745,0.59423375,"('unkind', 'kind')",0.6344875,0.5942338,-0.0402537
33,0.51418674,0.3399869,"('wrong', 'right')",0.5141867,0.3399869,-0.1741998
34,1.515652,1.710081,"('mean', 'honorable')",1.5156519,1.710081,0.1944291
35,1.0923954,0.78068995,"('corrupt', 'incorrupt')",1.0923954,0.78069,-0.3117054
36,0.36307132,0.03525535,"('hostile', 'amicable')",0.3630713,0.0352554,-0.3278159
37,0.2784997,0.39295664,"('fake', 'genuine')",0.2784997,0.3929566,0.1144569
38,0.12472728,0.14674038,"('untruthful', 'truthful')",0.1247273,0.1467404,0.0220131
39,0.22571012,0.3782179,"('exploitative', 'cooperative')",0.2257101,0.3782179,0.1525078
40,-0.53235793,-0.54639477,"('stingy', 'generous')",-0.5323579,-0.5463948,-0.0140369
41,0.53280795,0.559355,"('unforgiving', 'forgiving')",0.5328079,0.559355,0.0265471
42,-1.7172706,-1.5216595,"('unreliable', 'reliable')",-1.7172706,-1.5216595,0.1956111
43,-0.6066585,-0.48493174,"('irresponsible', 'responsible')",-0.6066585,-0.4849317,0.1217268
44,-1.7947015,-1.684277,"('prejudiced', 'unprejudiced')",-1.7947015,-1.6842771,0.1104244
45,0.6940089,0.86332947,"('incompetent', 'competent')",0.6940089,0.8633295,0.1693206
46,-0.61287296,-0.5650848,"('uncompetitive', 'competitive')",-0.612873,-0.5650848,0.0477882
47,2.0387616,2.190764,"('stupid', 'smart')",2.0387616,2.190764,0.1520024
48,-0.8805986,-0.8321175,"('unintelligent', 'intelligent')",-0.8805986,-0.8321175,0.0484811
49,-0.34632033,-0.3883481,"('unable', 'able')",-0.3463203,-0.3883481,-0.0420278
50,-0.3802965,-0.43201295,"('clumsy', 'skillful')",-0.3802965,-0.4320129,-0.0517164
51,-0.9967768,-0.82501554,"('uneducated', 'educated')",-0.9967768,-0.8250155,0.1717613
52,-0.6086542,-0.8132401,"('irrational', 'rational')",-0.6086542,-0.8132401,-0.2045859
53,0.07911246,-0.25399777,"('uncreative', 'creative')",0.0791125,-0.2539978,-0.3331103
54,0.13524973,-0.060832947,"('incapable', 'capable')",0.1352497,-0.0608329,-0.1960826
55,0.4441063,0.59481233,"('incompetent', 'clever')",0.4441063,0.5948123,0.150706
56,0.2413792,0.35896474,"('impractical', 'practical')",0.2413792,0.3589647,0.1175855
57,-1.0997113,-1.1791412,"('unimaginative', 'imaginative')",-1.0997113,-1.1791412,-0.0794299
58,0.7886481,0.81659603,"('undiscriminating', 'discriminating')",0.7886481,0.816596,0.0279479
59,0.11810834,0.095381066,"('foolish', 'wise')",0.1181083,0.0953811,-0.0227272
60,-0.7592866,-0.42317486,"('inefficient', 'efficient')",-0.7592866,-0.4231749,0.3361117
61,0.3272825,0.08760895,"('illogical', 'logical')",0.3272825,0.0876089,-0.2396736
62,-0.8890318,-0.62499523,"('incompetent', 'brilliant')",-0.8890318,-0.6249952,0.2640366
63,-0.4356042,-0.27849108,"('unperceptive', 'insightful')",-0.4356042,-0.2784911,0.1571131
64,-3.5069919,-3.3013704,"('shy', 'confident')",-3.5069919,-3.3013704,0.2056215
65,-0.3038586,-0.17548761,"('insecure', 'secure')",-0.3038586,-0.1754876,0.128371
66,-0.2098473,-0.37073362,"('inactive', 'active')",-0.2098473,-0.3707336,-0.1608863
67,-0.11966549,0.03883347,"('doubtful', 'determined')",-0.1196655,0.0388335,0.158499
68,-0.88542706,-0.93246585,"('dependent', 'independent')",-0.8854271,-0.9324659,-0.0470388
69,0.057443097,-0.025472488,"('lazy', 'industrious')",0.0574431,-0.0254725,-0.0829156
70,-0.09296988,0.034338634,"('lethargic', 'energetic')",-0.0929699,0.0343386,0.1273085
71,0.65565413,0.566846,"('diffident', 'self-confident')",0.6556541,0.566846,-0.0888081
72,-0.46686193,-0.42430398,"('unambitious', 'ambitious')",-0.4668619,-0.424304,0.0425579
73,-0.9356141,-0.97546446,"('helpless', 'self-reliant')",-0.9356141,-0.9754645,-0.0398504
74,0.62379193,0.7143844,"('undedicated', 'dedicated')",0.6237919,0.7143844,0.0905925
75,0.062854044,0.033863477,"('meek', 'impulsive')",0.062854,0.0338635,-0.0289905
76,-0.5787888,-0.37671176,"('anxious', 'daring')",-0.5787888,-0.3767118,0.202077
77,-1.2586753,-1.1289388,"('unmotivated', 'motivated')",-1.2586753,-1.1289388,0.1297365
78,-0.7955001,-0.802028,"('nonresilient', 'resilient')",-0.7955001,-0.802028,-0.0065279
79,0.10212319,-0.024325192,"('wavering', 'unwavering')",0.1021232,-0.0243252,-0.1264484
80,0.16791031,0.30890203,"('dominated', 'dominating')",0.1679103,0.308902,0.1409917
81,-1.0977545,-0.81151295,"('submissive', 'aggressive')",-1.0977545,-0.8115129,0.2862416
82,1.9555643,2.0139003,"('poor', 'rich')",1.9555643,2.0139003,0.058336
83,-0.6146684,-0.49705198,"('powerless', 'powerful')",-0.6146684,-0.497052,0.1176164
84,-0.29254004,-0.44565675,"('inferior', 'superior')",-0.29254,-0.4456567,-0.1531167
85,-0.08714264,-0.30938968,"('insignificant', 'prestigious')",-0.0871426,-0.3093897,-0.2222471
86,0.2270042,0.13483465,"('uninfluential', 'influential')",0.2270042,0.1348346,-0.0921696
87,0.20179144,0.101570636,"('unsuccessful', 'successful')",0.2017914,0.1015706,-0.1002208
88,-1.4373813,-1.3471047,"('low', 'eminent')",-1.4373813,-1.3471047,0.0902766
